文件,标题,拍摄时间,拍摄地点,说明
photos/mountain/mountain-01.jpg,树影长廊,2023-04-16,葡萄牙 辛特拉,一条被两排高树夹住的小路，走进去以后连脚步声都变轻了。
photos/mountain/mountain-02.jpg,雾还没散,2023-11-05,苏格兰 格伦科,早上六点出门，雾贴着地面走，路的尽头什么也看不见。
photos/mountain/mountain-03.jpg,石头上的风,2024-02-18,爱尔兰 基拉尼,换成黑白拍的，那天云压得很低，风一直没停过。
photos/mountain/mountain-04.jpg,溪水穿过夏天,2023-07-22,浙江 莫干山,溪水凉得刺骨，同行的人把鞋脱了坐在石头上不肯走。
photos/mountain/mountain-05.jpg,傍晚的草甸,2024-06-09,芬兰 拉普兰,太阳一直不落下去，草甸上的白花亮到快十一点。
photos/coast/coast-01.jpg,退潮以后,2023-09-03,美国 圣巴巴拉,退潮把沙滩铺得很平，远处那两个人一直没有往回走。
photos/coast/coast-02.jpg,岸上的礁石,2022-08-14,加拿大 托菲诺,礁石被海水磨得很圆，踩上去比看起来稳得多。
photos/coast/coast-03.jpg,长堤尽头,2023-03-27,澳大利亚 墨尔本,黑白拍的长堤，走到尽头的时候风大得站不住。
photos/coast/coast-04.jpg,夜里的浪,2024-01-11,冰岛 维克,天黑得很快，最后只剩浪的声音，快门开了三十秒。
photos/coast/coast-05.jpg,海边的凉亭,2022-11-19,美国 基韦斯特,涨潮的时候凉亭像浮在水上，那天的云一直在动。
photos/street/street-01.jpg,停在街角的老车,2023-05-21,新西兰 奥克兰,车主说这台车比他年纪还大，到现在还能上路。
photos/street/street-02.jpg,靠墙的自行车,2022-06-30,挪威 卑尔根,木板房子晒了很多年，那辆绿色的自行车没有上锁。
photos/street/street-03.jpg,长椅和影子,2023-10-08,葡萄牙 波尔图,一整面白墙只摆了一条长椅，中午的影子刚好落在下面。
photos/street/street-04.jpg,隔着雨看城市,2024-03-15,上海 徐汇,窗上全是雨点，对面的楼被化成一块一块的颜色。
photos/street/street-05.jpg,夜里的一道闪电,2023-08-02,西班牙 瓦伦西亚,在阳台上等了一个多小时，最后只拍到这一张带闪电的。
photos/daily/daily-01.jpg,读到一半的书,2024-04-02,家中书桌,翻到一半就去做饭了，回来时页角已经被风吹翻过去。
photos/daily/daily-02.jpg,三颗树莓,2023-06-18,家中阳台,从楼下市场买回来的，洗完摆在窗台上顺手拍了一张。
photos/daily/daily-03.jpg,散掉的灯,2023-12-24,杭州 武林路,故意把焦点拧开，街上的圣诞灯就变成一团一团的。
photos/daily/daily-04.jpg,橘子的胡须,2024-05-07,家中沙发,家里的猫叫橘子，只有睡着的时候才肯让人靠这么近。
photos/daily/daily-05.jpg,捡回来的松果,2023-11-12,家中窗台,从山上捡回来的，放了几天就自己张开了。
