authorization_start_time,authorization_expiry_time,school_name,school_id
2024-06-15 00:00:00,2026-06-30 23:59:59,文澜实验学校,SCH001
2024-07-01 00:00:00,2026-07-10 23:59:59,翠苑中学,SCH002
2024-08-01 00:00:00,2026-07-31 23:59:59,未来科技城实验学校,SCH003
2024-06-15 00:00:00,2026-08-05 23:59:59,良渚第一中学,SCH004
2024-07-01 00:00:00,2026-08-20 23:59:59,鄞州新城学校,SCH005
2024-08-01 00:00:00,2026-08-25 23:59:59,东湖实验中学,SCH006
2024-06-15 00:00:00,2026-08-31 23:59:59,海曙外国语学校,SCH007
2024-07-01 00:00:00,2026-09-05 23:59:59,月湖中学,SCH008
2024-08-01 00:00:00,2026-09-10 23:59:59,鼓楼实验学校,SCH009
2024-06-15 00:00:00,2026-09-11 23:59:59,金陵汇文学校,SCH010
2024-07-01 00:00:00,2026-09-25 23:59:59,河西外国语学校,SCH011
2024-08-01 00:00:00,2026-10-05 23:59:59,江心洲初级中学,SCH012
2024-06-15 00:00:00,2026-10-15 23:59:59,平江实验学校,SCH013
2024-07-01 00:00:00,2026-10-25 23:59:59,沧浪新城中学,SCH014
2024-08-01 00:00:00,2026-11-01 23:59:59,太湖实验学校,SCH015
2024-06-15 00:00:00,2026-11-10 23:59:59,木渎实验中学,SCH016
2024-07-01 00:00:00,2027-07-31 23:59:59,天河智慧学校,SCH017
2024-08-01 00:00:00,2028-01-31 23:59:59,珠江新城实验中学,SCH018
2024-06-15 00:00:00,2027-07-31 23:59:59,海珠实验学校,SCH019
2024-07-01 00:00:00,2028-01-31 23:59:59,琶洲新城中学,SCH020
2024-08-01 00:00:00,2027-07-31 23:59:59,南山创新学校,SCH021
2024-06-15 00:00:00,2028-01-31 23:59:59,前海实验中学,SCH022
2024-07-01 00:00:00,2027-07-31 23:59:59,福田未来学校,SCH023
2024-08-01 00:00:00,2028-01-31 23:59:59,香蜜湖实验中学,SCH024
2024-06-15 00:00:00,2027-07-31 23:59:59,锦江师一学校,SCH025
2024-07-01 00:00:00,2028-01-31 23:59:59,盐道街实验中学,SCH026
2024-08-01 00:00:00,2027-07-31 23:59:59,武侯智慧学校,SCH027
2024-06-15 00:00:00,2028-01-31 23:59:59,桐梓林实验中学,SCH028
2024-07-01 00:00:00,2027-07-31 23:59:59,涪城实验学校,SCH029
2024-08-01 00:00:00,2028-01-31 23:59:59,科技城第一中学,SCH030
2024-06-15 00:00:00,2027-07-31 23:59:59,游仙外国语学校,SCH031
2024-07-01 00:00:00,2028-01-31 23:59:59,富乐实验中学,SCH032
