record_id,segment,context,observation,need
R-001,通勤上班族,早高峰开始工作前,打开待办后看到十多件事会先花时间重新排序,希望先看到今天最值得处理的少数事项
R-002,通勤上班族,地铁弱网时临时想到任务,担心没有网络时记录会丢失所以改用纸条,希望离线也能先记下并在联网后继续处理
R-003,小团队负责人,手机记录后回到电脑整理,同一件事在设备之间重复录入容易遗漏上下文,希望手机收集后能在登录设备间继续整理
R-004,通勤上班族,晚间个人时间,常规提醒连续出现会让人觉得工作没有结束,希望自行设置不被常规提醒打扰的时段
R-005,通勤上班族,当天任务很多时,列出十几项但只完成两项会产生挫败感,希望用较小范围安排当天重点而不是继续加压
R-006,小团队负责人,周五整理下周计划,很难快速分清本周已完成和需要顺延的事项,希望有不带排名的每周回看
R-007,通勤上班族,地下停车场临时接到安排,网络恢复前只能把事项记在聊天草稿里,希望离线记录可以在恢复连接后同步
R-008,小团队负责人,一天在手机和平板间切换,重新寻找刚记录的事项会打断工作节奏,希望登录设备间保持同一收集入口
R-009,小团队负责人,集中写方案的两小时,非紧急提醒会打断连续思考,希望提前设置安静时段并在结束后再查看
R-010,通勤上班族,周末回顾个人安排,不想看到效率分数或与他人的比较,希望只看完成和顺延的客观汇总
R-011,小团队负责人,每天第一次查看工作清单,需要快速说明今天先处理什么但不想由系统替他决定,希望手动固定少量重点事项
R-012,通勤上班族,通勤途中先记下回家要办的事,到家后希望在电脑上补充细节,希望断网记录在恢复连接后出现在登录设备上
