school_id,school_name,province,city,district
SCH001,文澜实验学校,浙江省,杭州市,西湖区
SCH002,翠苑中学,浙江省,杭州市,西湖区
SCH003,未来科技城实验学校,浙江省,杭州市,余杭区
SCH004,良渚第一中学,浙江省,杭州市,余杭区
SCH005,鄞州新城学校,浙江省,宁波市,鄞州区
SCH006,东湖实验中学,浙江省,宁波市,鄞州区
SCH007,海曙外国语学校,浙江省,宁波市,海曙区
SCH008,月湖中学,浙江省,宁波市,海曙区
SCH009,鼓楼实验学校,江苏省,南京市,鼓楼区
SCH010,金陵汇文学校,江苏省,南京市,鼓楼区
SCH011,河西外国语学校,江苏省,南京市,建邺区
SCH012,江心洲初级中学,江苏省,南京市,建邺区
SCH013,平江实验学校,江苏省,苏州市,姑苏区
SCH014,沧浪新城中学,江苏省,苏州市,姑苏区
SCH015,太湖实验学校,江苏省,苏州市,吴中区
SCH016,木渎实验中学,江苏省,苏州市,吴中区
SCH017,天河智慧学校,广东省,广州市,天河区
SCH018,珠江新城实验中学,广东省,广州市,天河区
SCH019,海珠实验学校,广东省,广州市,海珠区
SCH020,琶洲新城中学,广东省,广州市,海珠区
SCH021,南山创新学校,广东省,深圳市,南山区
SCH022,前海实验中学,广东省,深圳市,南山区
SCH023,福田未来学校,广东省,深圳市,福田区
SCH024,香蜜湖实验中学,广东省,深圳市,福田区
SCH025,锦江师一学校,四川省,成都市,锦江区
SCH026,盐道街实验中学,四川省,成都市,锦江区
SCH027,武侯智慧学校,四川省,成都市,武侯区
SCH028,桐梓林实验中学,四川省,成都市,武侯区
SCH029,涪城实验学校,四川省,绵阳市,涪城区
SCH030,科技城第一中学,四川省,绵阳市,涪城区
SCH031,游仙外国语学校,四川省,绵阳市,游仙区
SCH032,富乐实验中学,四川省,绵阳市,游仙区
